,Вакансия,Ссылка
26,Программист,https://hh.ru/resume/9a5643ae000856b5400039ed1f685a4d634a75?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
27,Аналитик,https://hh.ru/resume/b09f2bb2000627499d0039ed1f317556636749?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
28,Аналитик BI / аналитик данных / финансовый аналитик,https://hh.ru/resume/fca5d1fa00036ab9a90039ed1f52346f724f55?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
29,Аналитик,https://hh.ru/resume/a94ca4350007f48d040039ed1f377442384f6d?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
30,Аналитик,https://hh.ru/resume/b203928b000326a58d0039ed1f32546e4b6b4a?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
31,Аналитик,https://hh.ru/resume/28fdaf9300021e196f0039ed1f416c33726871?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
32,Продуктовый аналитик,https://hh.ru/resume/962564f5000285d9c00039ed1f52566a6c4230?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
33,Аналитик,https://hh.ru/resume/ee2448210005c2f0080039ed1f417169585146?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
34,Аналитик / Data Scientist,https://hh.ru/resume/503dff340008f6c3730039ed1f506131443561?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
35,"Программист BI, аналитик",https://hh.ru/resume/84193619000924ccec0039ed1f543150696866?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
36,"Аналитик, Oracle BI, архитектор DWH",https://hh.ru/resume/b64b2f8100009a16590039ed1f736563726574?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
37,Аналитик,https://hh.ru/resume/2ff8ea3e00080e2a630039ed1f566263377769?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
38,Аналитик,https://hh.ru/resume/3f417c4600025706ec0039ed1f62456f646450?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
39,Аналитик,https://hh.ru/resume/0d66f5d10005e944560039ed1f593175665047?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
40,Analyst,https://hh.ru/resume/142043fa00064f5eb20039ed1f4c394f51636b?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
41,Аналитик,https://hh.ru/resume/3ae4c9c30004358d940039ed1f4a476f6d6b49?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
